Aseguradora,Tarjeta,Poblacion,Telefono,Estado civil,Ficha,Cuota
DKV,5598694445341305,Madrid,16210829 5557,Divorciado,02/18/2020,55
Adeslas,5563217906868417,Madrid,16911014 4657,Viudo,10/15/2020,49
Caser,5106326639013714,Madrid,16210729 7497,Casado,06/09/2020,45
Caser,5116536696412066,Madrid,16360918 1015,Pareja de hecho,08/02/2020,48
Asisa,5257466703957979,Madrid,16660522 9001,Casado,06/08/2020,48
DKV,5293097256470825,Madrid,16240729 7726,Soltero,09/16/2020,58
DKV,5196230071642066,Madrid,16260303 1002,Casado,04/09/2020,43
Adeslas,5366707081348424,Madrid,16190215 7740,Divorciado,10/17/2020,56
Caser,5465246444734293,Madrid,16730830 2921,Viudo,04/25/2020,47
DKV,5207967095881868,Madrid,16600720 9668,Viudo,04/19/2020,49
DKV,5497454670157724,Madrid,16931128 4344,Pareja de hecho,02/16/2020,49
Caser,5461144479864222,Madrid,16831029 1854,Viudo,09/28/2020,49
Mapfre,5370667458555213,Madrid,16730612 3634,Casado,10/23/2020,52
Mapfre,5369320761610928,Madrid,16801208 0969,Soltero,06/27/2020,45
Asisa,5385193792031707,Madrid,16090107 4260,Divorciado,03/31/2020,52
DKV,5168027166066126,Madrid,16750605 0876,Viudo,05/09/2020,50
Caser,5136559010009919,Madrid,16460114 3847,Soltero,01/15/2020,43
Asisa,5472472772274758,Madrid,16700212 3193,Soltero,01/10/2020,43
Asisa,5318157826953634,Madrid,16331110 2192,Divorciado,06/07/2020,50
Asisa,5335758770022570,Madrid,16450117 5824,Casado,06/02/2020,45
DKV,5221716166828858,Madrid,16130830 8319,Divorciado,08/16/2020,48
Asisa,5384361696670513,Madrid,16880924 8928,Divorciado,08/02/2020,47
Asisa,5311223566635372,Madrid,16620714 7775,Viudo,06/25/2020,55
DKV,5318604632435207,Madrid,16070317 2908,Casado,06/15/2020,51
Caser,5300062353622695,Madrid,16630321 8140,Divorciado,07/18/2020,53
Asisa,5314124365890712,Madrid,16780818 5818,Viudo,03/02/2020,54
DKV,5456454093727060,Madrid,16660701 7230,Viudo,04/10/2020,47
Asisa,5527582384033122,Madrid,16511020 0689,Pareja de hecho,09/01/2020,49
DKV,5272465313795788,Madrid,16300405 2464,Divorciado,02/24/2020,50
Caser,5463239270269858,Madrid,16320428 0659,Viudo,10/11/2020,57
Caser,5534564395769432,Madrid,16580815 5104,Divorciado,08/10/2020,59
DKV,5258312705139407,Madrid,16110406 0536,Viudo,07/06/2020,48
Mapfre,5475839855578585,Madrid,16661021 1036,Casado,06/10/2020,48
Asisa,5502021503193250,Madrid,16530803 6002,Casado,09/06/2020,39
Adeslas,5272386067938905,Madrid,16970222 6664,Casado,05/10/2020,48
DKV,5186440561411433,Madrid,16311115 7404,Viudo,04/18/2020,59
Caser,5247504318255836,Madrid,16021203 8699,Pareja de hecho,08/23/2020,50
DKV,5598546677089970,Madrid,16850328 0979,Pareja de hecho,08/17/2020,46
Caser,5419739138801409,Madrid,16100930 7446,Casado,03/04/2020,52
DKV,5220507220183690,Madrid,16580517 1518,Casado,06/18/2020,48
Caser,5118293294113013,Madrid,16890813 7345,Viudo,07/22/2020,53
DKV,5496893696361631,Madrid,16500530 7755,Divorciado,10/14/2020,48
Caser,5413836295181645,Madrid,16241019 8101,Soltero,03/19/2020,55
Adeslas,5536390433642268,Madrid,16560807 1931,Pareja de hecho,04/09/2020,47
Asisa,5473864863922031,Madrid,16510230 3483,Casado,09/17/2020,49
Caser,5122005852354662,Madrid,16631219 9950,Viudo,02/24/2020,43
DKV,5412693022304755,Madrid,16751019 3142,Divorciado,05/31/2020,55
Asisa,5559839007512911,Madrid,16030524 3313,Soltero,03/23/2020,56
Adeslas,5454539540417208,Madrid,16650325 4556,Pareja de hecho,03/03/2020,55
Mapfre,5260760115498944,Madrid,16860506 8603,Soltero,01/06/2020,55
Adeslas,5111613432244312,Madrid,16780804 3512,Soltero,02/02/2020,45
Adeslas,5383571093661045,Madrid,16331130 3402,Pareja de hecho,10/08/2020,51
Adeslas,5412788593746077,Madrid,16630730 7386,Viudo,07/14/2020,49
Mapfre,5246781690671183,Madrid,16630505 2380,Viudo,05/21/2020,58
Adeslas,5353574269156085,Madrid,16971203 3456,Soltero,05/11/2020,47
Asisa,5268254852856771,Madrid,16860925 2559,Casado,07/08/2020,53
Adeslas,5108731531273316,Madrid,16811230 0861,Divorciado,05/03/2020,46
Caser,5370803360609034,Madrid,16010508 6854,Divorciado,04/20/2020,61
Mapfre,5476963302648517,Madrid,16490905 3649,Viudo,02/29/2020,55
Adeslas,5262512231089745,Madrid,16590504 2635,Divorciado,03/09/2020,50
DKV,5352302006207057,Madrid,16950830 3725,Divorciado,07/10/2020,47
Adeslas,5581397536456763,Madrid,16680222 9549,Soltero,06/01/2020,51
Caser,5531713646863378,Madrid,16270920 1491,Pareja de hecho,08/23/2020,48
DKV,5220021003839163,Madrid,16831227 5939,Pareja de hecho,06/16/2020,45
Asisa,5487141339444872,Madrid,16250613 6221,Casado,08/27/2020,47
Asisa,5352042950750229,Madrid,16001101 4545,Pareja de hecho,08/04/2020,53
Caser,5187170206006004,Madrid,16951116 7463,Viudo,07/12/2020,46
Adeslas,5352106484445497,Madrid,16310315 0789,Pareja de hecho,08/30/2020,50
DKV,5421278121503645,Madrid,16420820 4166,Divorciado,10/11/2020,46
DKV,5504835140386896,Madrid,16480429 0361,Soltero,08/22/2020,48
Asisa,5248818116023660,Madrid,16500712 3895,Casado,04/02/2020,57
Adeslas,5109475381565715,Madrid,16360713 1194,Divorciado,02/05/2020,61
Asisa,5316453342408837,Madrid,16030503 1684,Divorciado,06/13/2020,49
Asisa,5403148138626311,Madrid,16080622 4911,Divorciado,09/02/2020,48
Mapfre,5566530318413250,Madrid,16430210 8362,Viudo,06/19/2020,58
DKV,5227799569489050,Madrid,16490714 9878,Soltero,10/21/2020,60
Asisa,5542935310224184,Madrid,16880407 2562,Casado,07/23/2020,40
Caser,5195085125099338,Madrid,16151110 8308,Divorciado,02/07/2020,52
Mapfre,5551283744612189,Madrid,16940813 9617,Viudo,05/29/2020,54
Asisa,5458527490528401,Madrid,16221118 5091,Viudo,09/09/2020,49
Asisa,5234796725876239,Madrid,16451118 7116,Soltero,09/03/2020,50
DKV,5376934512178901,Madrid,16970415 6851,Soltero,10/25/2020,50
Caser,5175285829127435,Madrid,16180923 0996,Pareja de hecho,01/10/2020,47
Adeslas,5495718765857857,Madrid,16110607 7900,Divorciado,06/01/2020,42
Asisa,5380334742674791,Madrid,16680728 0885,Viudo,06/08/2020,52
Adeslas,5303763362427953,Madrid,16970605 9632,Divorciado,01/14/2020,47
DKV,5434390755241106,Madrid,16830422 3095,Soltero,10/29/2020,55
Mapfre,5513400463535550,Madrid,16440422 3101,Pareja de hecho,02/04/2020,52
Adeslas,5343105921339364,Madrid,16160702 1951,Soltero,09/26/2020,44
Caser,5490407691597713,Madrid,16220207 8115,Viudo,06/08/2020,51
Mapfre,5448966242046929,Madrid,16220201 9341,Viudo,06/04/2020,55
DKV,5519522674530908,Madrid,16950724 2130,Pareja de hecho,04/14/2020,55
Caser,5551091463313727,Madrid,16480220 9066,Soltero,03/22/2020,46
DKV,5343390522069608,Madrid,16061111 5569,Soltero,09/29/2020,57
Caser,5448347416026726,Madrid,16060116 5673,Casado,03/18/2020,54
DKV,5117806099865734,Madrid,16710921 2188,Viudo,08/01/2020,52
DKV,5561163752073920,Madrid,16610218 6654,Casado,10/28/2020,50
DKV,5577638525773536,Madrid,16071121 4106,Viudo,07/16/2020,53
Asisa,5396977589737741,Madrid,16990908 3058,Divorciado,10/23/2020,45
Caser,5398639000838189,Madrid,16811203 0328,Soltero,03/24/2020,43
Caser,5225390687273089,Madrid,16641017 9425,Casado,07/08/2020,50
Mapfre,5519275262343594,Madrid,16901219 2119,Divorciado,02/19/2020,49
Mapfre,5565422585925789,Madrid,16000802 6403,Divorciado,07/28/2020,60
Adeslas,5211674122352285,Madrid,16990206 9948,Viudo,09/21/2020,49
Mapfre,5126082181169265,Madrid,16491017 4749,Pareja de hecho,08/06/2020,48
Caser,5373557512797504,Madrid,16201119 1448,Viudo,08/21/2020,41
Caser,5579150180451828,Madrid,16011020 9285,Casado,02/01/2020,51
DKV,5370154489360103,Madrid,16030427 4988,Viudo,09/20/2020,48
Asisa,5275301164902610,Madrid,16170516 0271,Soltero,06/09/2020,40
Caser,5500762093249950,Madrid,16230930 1766,Divorciado,06/16/2020,44
Caser,5450384710645914,Madrid,16370823 2024,Casado,02/28/2020,56
DKV,5598451605373127,Madrid,16781208 3389,Viudo,10/09/2020,58
Caser,5405137480061100,Madrid,16690630 0550,Casado,05/10/2020,45
DKV,5573512353686413,Madrid,16700704 2661,Divorciado,04/14/2020,51
Caser,5488752428930776,Madrid,16870409 4161,Viudo,05/30/2020,47
DKV,5240963485073587,Madrid,16310427 1543,Soltero,02/20/2020,52
Adeslas,5371619811230579,Madrid,16060625 6410,Soltero,09/09/2020,41
DKV,5105533727956925,Madrid,16990103 2640,Divorciado,08/30/2020,49
DKV,5140053114378127,Madrid,16880720 0905,Viudo,06/01/2020,50
DKV,5597397163950205,Madrid,16031019 4790,Pareja de hecho,06/04/2020,47
Mapfre,5346908832358507,Madrid,16611123 5005,Viudo,01/13/2020,59
Asisa,5165910006175046,Madrid,16611126 7461,Divorciado,03/19/2020,53
Adeslas,5381975148237721,Madrid,16900205 5110,Casado,01/14/2020,53
Caser,5167103105596167,Madrid,16020607 7687,Casado,01/20/2020,43
DKV,5248952387760088,Madrid,16151208 9606,Casado,01/06/2020,49
Adeslas,5390328030817201,Madrid,16430223 2733,Soltero,02/20/2020,45
Asisa,5299706316799882,Madrid,16510918 7913,Pareja de hecho,02/20/2020,43
Caser,5301958541606475,Madrid,16961226 6602,Soltero,09/19/2020,63
Asisa,5118924299380583,Madrid,16280116 2823,Soltero,10/14/2020,56
Mapfre,5373941783455911,Madrid,16161125 0364,Viudo,01/25/2020,60
Asisa,5440727572105083,Madrid,16080615 0439,Soltero,01/24/2020,54
DKV,5152660675830042,Madrid,16510928 6210,Soltero,06/06/2020,56
Mapfre,5571184750180507,Madrid,16581127 1104,Divorciado,08/10/2020,50
Asisa,5346038842165948,Madrid,16590716 7760,Divorciado,10/28/2020,49
Caser,5432214208245898,Madrid,16840319 4460,Divorciado,02/14/2020,53
Adeslas,5101364430878469,Madrid,16000520 9762,Viudo,09/18/2020,53
Adeslas,5217268691953492,Madrid,16361013 5356,Casado,03/04/2020,44
Mapfre,5366720061067690,Madrid,16980823 7490,Divorciado,02/23/2020,49
Mapfre,5413700648702673,Madrid,16580721 6162,Pareja de hecho,04/06/2020,59
Caser,5138904494004317,Madrid,16710715 0810,Soltero,01/03/2020,52
Mapfre,5317271615351651,Madrid,16610208 3976,Soltero,06/02/2020,58
Adeslas,5485933621074751,Madrid,16030225 3588,Casado,06/28/2020,53
Caser,5148830157775844,Madrid,16890622 0267,Divorciado,01/14/2020,52
Adeslas,5553512320046133,Madrid,16320819 8246,Divorciado,08/10/2020,52
Caser,5257334115575021,Madrid,16330129 7515,Casado,01/11/2020,64
Asisa,5331727168098975,Madrid,16951112 4191,Casado,08/06/2020,49
Mapfre,5216338292738104,Madrid,16510708 0136,Pareja de hecho,10/06/2020,57
Asisa,5328060186316897,Madrid,16660618 3959,Pareja de hecho,04/16/2020,53
Mapfre,5545849793308405,Madrid,16360122 7261,Pareja de hecho,07/06/2020,59
Adeslas,5310373216054028,Madrid,16130401 3244,Divorciado,02/23/2020,40
Asisa,5498615252192615,Madrid,16981115 8865,Casado,01/06/2020,45
Asisa,5405118811225614,Madrid,16240611 0441,Casado,04/13/2020,53
DKV,5101876783856750,Madrid,16190708 8221,Pareja de hecho,04/01/2020,45
Caser,5102613307868188,Madrid,16751208 6856,Pareja de hecho,04/05/2020,45
DKV,5230710140244083,Madrid,16741126 9397,Pareja de hecho,03/22/2020,49
Mapfre,5570539067380093,Madrid,16961023 8835,Pareja de hecho,04/01/2020,47
Caser,5579070419098721,Madrid,16540312 6823,Viudo,02/29/2020,44
Caser,5439765150803813,Madrid,16051208 9681,Divorciado,02/12/2020,49
Caser,5595264421935992,Madrid,16640217 7742,Viudo,09/12/2020,51
Mapfre,5449241909668418,Madrid,16520119 9451,Casado,01/30/2020,52
Caser,5368297179728578,Madrid,16830729 7211,Viudo,09/13/2020,57
Asisa,5363625934323969,Madrid,16540824 9596,Soltero,01/19/2020,53
Adeslas,5116651375558210,Madrid,16680207 8870,Divorciado,06/11/2020,52
Asisa,5512997258493359,Madrid,16910306 3393,Viudo,06/17/2020,54
Asisa,5196569421205326,Madrid,16110109 6848,Casado,09/22/2020,55
Mapfre,5104157968449191,Madrid,16490211 9462,Viudo,10/27/2020,44
Asisa,5290937352053350,Madrid,16350215 3780,Viudo,08/03/2020,51
Adeslas,5561368694959660,Madrid,16470629 8330,Divorciado,07/06/2020,49
Mapfre,5171734789219504,Madrid,16760110 5146,Divorciado,08/03/2020,56
Caser,5392518207543907,Madrid,16751127 5427,Divorciado,10/03/2020,45
Caser,5341929801281186,Madrid,16710322 1748,Pareja de hecho,05/15/2020,45
DKV,5235799053654946,Madrid,16070309 1181,Pareja de hecho,10/12/2020,45
Asisa,5346187594887751,Madrid,16920414 5768,Divorciado,07/22/2020,43
DKV,5288030395728198,Madrid,16020101 9346,Casado,01/23/2020,48
DKV,5524887242315907,Madrid,16760322 0703,Casado,07/11/2020,42
Caser,5439734046528083,Madrid,16030929 3603,Soltero,10/22/2020,50
Asisa,5366933860927879,Madrid,16450214 0355,Casado,04/10/2020,55
DKV,5562688301218377,Madrid,16781017 2309,Soltero,08/29/2020,47
Mapfre,5114728485273260,Madrid,16320803 3831,Soltero,08/07/2020,55
Caser,5459436334774206,Madrid,16811222 8112,Pareja de hecho,09/05/2020,49
Adeslas,5339054971172695,Madrid,16600819 1527,Casado,03/05/2020,52
Caser,5311812423106872,Madrid,16171117 9323,Casado,04/08/2020,56
Caser,5215204614150389,Madrid,16040722 6521,Divorciado,09/27/2020,46
Caser,5259291756139566,Madrid,16510115 5298,Divorciado,05/08/2020,57
Adeslas,5252462883955847,Madrid,16180104 5780,Divorciado,01/20/2020,57
Mapfre,5531249747119345,Madrid,16460709 7062,Viudo,08/03/2020,57
Adeslas,5421550954041616,Madrid,16370729 0841,Divorciado,10/28/2020,54
Adeslas,5346420768370092,Madrid,16890117 0145,Soltero,05/14/2020,52
Mapfre,5572772966510985,Madrid,16670220 0848,Divorciado,04/23/2020,41
Adeslas,5145070584227761,Madrid,16710508 5661,Viudo,06/27/2020,53
DKV,5446561032146872,Madrid,16810212 6250,Divorciado,06/05/2020,42
Adeslas,5477035980576739,Madrid,16270616 6358,Casado,08/18/2020,57
Mapfre,5228252980694998,Madrid,16680228 3413,Divorciado,01/14/2020,46
Asisa,5105627525815646,Madrid,16211112 7920,Casado,03/08/2020,48
Caser,5143999655611176,Madrid,16970125 0392,Casado,10/25/2020,50
Caser,5469052992183107,Madrid,16060616 0638,Casado,05/21/2020,51
DKV,5172581450783733,Madrid,16800511 3611,Divorciado,07/19/2020,46
Caser,5212034335633790,Madrid,16430113 2850,Casado,01/17/2020,51
Mapfre,5323450922564568,Madrid,16590203 1896,Pareja de hecho,04/06/2020,39
Caser,5166962361087570,Madrid,16741112 4683,Viudo,06/17/2020,53
Mapfre,5261038948341444,Madrid,16340814 1814,Pareja de hecho,02/11/2020,54
Asisa,5215265497483403,Madrid,16970111 4192,Soltero,05/04/2020,49
Asisa,5253267315578177,Madrid,16451114 8761,Casado,05/26/2020,54
Adeslas,5259297730915773,Madrid,16730713 5132,Casado,04/20/2020,58
Adeslas,5281746958216191,Madrid,16380804 8254,Viudo,04/05/2020,46
Adeslas,5485212469553584,Madrid,16650225 4417,Divorciado,06/18/2020,51
Asisa,5210407477915781,Madrid,16750207 7766,Divorciado,02/05/2020,52
Mapfre,5346805211455609,Madrid,16300804 9052,Soltero,01/22/2020,47
Adeslas,5536257506502366,Madrid,16110216 5550,Pareja de hecho,05/14/2020,62
Adeslas,5563030595141875,Madrid,16820821 6922,Pareja de hecho,06/14/2020,49
Caser,5578909443653020,Madrid,16570514 2536,Pareja de hecho,04/22/2020,51
Mapfre,5263094643792280,Madrid,16710810 7249,Soltero,05/18/2020,47
Mapfre,5432343176304500,Madrid,16511029 3015,Soltero,03/25/2020,48
Mapfre,5194570241064135,Madrid,16900819 0903,Divorciado,01/28/2020,48
DKV,5150653717113297,Madrid,16720626 2946,Pareja de hecho,07/26/2020,49
Asisa,5305587457047493,Madrid,16620623 7627,Pareja de hecho,10/06/2020,43
DKV,5377462485450916,Madrid,16911023 6156,Soltero,10/07/2020,60
DKV,5462115200927966,Madrid,16550609 4548,Divorciado,10/16/2020,53
Mapfre,5179027615128904,Madrid,16670708 9733,Soltero,09/22/2020,52
DKV,5245111395156788,Madrid,16700518 4762,Divorciado,02/28/2020,46
Asisa,5473673556097724,Madrid,16080203 5741,Pareja de hecho,04/10/2020,46
DKV,5489031041539309,Madrid,16840303 0466,Soltero,08/28/2020,49
Mapfre,5574943152144693,Madrid,16430120 5201,Soltero,04/18/2020,50
Caser,5198899104745563,Madrid,16850527 0846,Casado,08/02/2020,54
Caser,5203545775618760,Madrid,16740405 0721,Casado,08/02/2020,55
Adeslas,5472125180705702,Madrid,16391009 3032,Soltero,01/08/2020,44
Caser,5159006043628077,Madrid,16480706 9267,Pareja de hecho,04/13/2020,45
DKV,5520637999359820,Madrid,16590415 7608,Viudo,05/20/2020,51
DKV,5525343737113984,Madrid,16660814 2904,Soltero,02/24/2020,55
Caser,5537023335964469,Madrid,16260412 4384,Casado,05/30/2020,57
Asisa,5493603233901143,Madrid,16340930 7661,Viudo,09/11/2020,51
Caser,5460068223988154,Madrid,16621113 0999,Pareja de hecho,05/30/2020,44
Mapfre,5507437497423278,Madrid,16490821 2139,Divorciado,05/30/2020,54
Mapfre,5434961644431445,Madrid,16600811 0188,Pareja de hecho,05/09/2020,46
Asisa,5494082023588585,Madrid,16760724 6746,Soltero,05/15/2020,43
Caser,5480423494015201,Madrid,16420907 9534,Casado,04/05/2020,55
Caser,5193529320663598,Madrid,16690314 3516,Divorciado,02/28/2020,52
Caser,5486797576911567,Madrid,16060313 4404,Pareja de hecho,01/19/2020,49
Caser,5134201411930326,Madrid,16820106 8817,Casado,09/21/2020,52
Asisa,5426133534520204,Madrid,16450504 0578,Pareja de hecho,02/27/2020,50
Adeslas,5595248930533356,Madrid,16391016 7570,Divorciado,07/08/2020,46
Adeslas,5195840466084897,Madrid,16550901 4618,Soltero,04/03/2020,48
